,zip,dunkin,other,starbucks,total,dunkin_prop,starbucks_prop,other_prop,total_prop,area
81,10461,10.00000,5.00000,2.00000,17.00000,0.58824,0.11765,0.29412,1.00000,2.25350
82,10462,3.00000,3.00000,1.00000,7.00000,0.42857,0.14286,0.42857,1.00000,1.90192
83,10463,3.00000,0.00000,3.00000,6.00000,0.50000,0.50000,0.00000,1.00000,1.42846
84,10464,1.00000,3.00000,0.00000,4.00000,0.25000,0.00000,0.75000,1.00000,3.31289
85,10465,3.00000,4.00000,1.00000,8.00000,0.37500,0.12500,0.50000,1.00000,3.88917
86,10466,3.00000,0.00000,0.00000,3.00000,1.00000,0.00000,0.00000,1.00000,1.98227
87,10467,6.00000,2.00000,0.00000,8.00000,0.75000,0.00000,0.25000,1.00000,2.48709
88,10468,4.00000,4.00000,0.00000,8.00000,0.50000,0.00000,0.50000,1.00000,1.23564
89,10469,5.00000,1.00000,0.00000,6.00000,0.83333,0.00000,0.16667,1.00000,2.44063
90,10470,2.00000,0.00000,0.00000,2.00000,1.00000,0.00000,0.00000,1.00000,0.77277
91,10471,1.00000,0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,1.00000,3.21580
92,10472,4.00000,0.00000,0.00000,4.00000,1.00000,0.00000,0.00000,1.00000,1.11065
93,10473,1.00000,0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,1.00000,2.13507
94,10474,1.00000,2.00000,0.00000,3.00000,0.33333,0.00000,0.66667,1.00000,1.45683
95,10475,3.00000,2.00000,0.00000,5.00000,0.60000,0.00000,0.40000,1.00000,1.38578
96,11004,2.00000,1.00000,0.00000,3.00000,0.66667,0.00000,0.33333,1.00000,0.81090
97,11101,8.00000,15.00000,1.00000,24.00000,0.33333,0.04167,0.62500,1.00000,2.84491
98,11102,2.00000,7.00000,1.00000,10.00000,0.20000,0.10000,0.70000,1.00000,0.68570
99,11103,3.00000,18.00000,1.00000,22.00000,0.13636,0.04545,0.81818,1.00000,0.72538
100,11104,2.00000,1.00000,1.00000,4.00000,0.50000,0.25000,0.25000,1.00000,0.43347
101,11105,3.00000,9.00000,1.00000,13.00000,0.23077,0.07692,0.69231,1.00000,1.75030
102,11106,5.00000,6.00000,1.00000,12.00000,0.41667,0.08333,0.50000,1.00000,0.85608
103,11109,0.00000,1.00000,0.00000,1.00000,0.00000,0.00000,1.00000,1.00000,0.00832
104,11201,3.00000,24.00000,10.00000,37.00000,0.08108,0.27027,0.64865,1.00000,1.47408
105,11203,4.00000,3.00000,0.00000,7.00000,0.57143,0.00000,0.42857,1.00000,2.17533
106,11204,3.00000,7.00000,1.00000,11.00000,0.27273,0.09091,0.63636,1.00000,1.56233
107,11205,2.00000,9.00000,2.00000,13.00000,0.15385,0.15385,0.69231,1.00000,0.83074
108,11206,2.00000,12.00000,0.00000,14.00000,0.14286,0.00000,0.85714,1.00000,1.45919
109,11207,3.00000,3.00000,0.00000,6.00000,0.50000,0.00000,0.50000,1.00000,2.64514
110,11208,5.00000,1.00000,0.00000,6.00000,0.83333,0.00000,0.16667,1.00000,2.84431
111,11209,6.00000,10.00000,3.00000,19.00000,0.31579,0.15789,0.52632,1.00000,2.07481
112,11210,3.00000,2.00000,2.00000,7.00000,0.42857,0.28571,0.28571,1.00000,1.71771
113,11211,5.00000,49.00000,2.00000,56.00000,0.08929,0.03571,0.87500,1.00000,2.08629
114,11212,2.00000,4.00000,0.00000,6.00000,0.33333,0.00000,0.66667,1.00000,1.50554
115,11213,2.00000,3.00000,0.00000,5.00000,0.40000,0.00000,0.60000,1.00000,1.06287
116,11214,6.00000,9.00000,2.00000,17.00000,0.35294,0.11765,0.52941,1.00000,2.19154
117,11215,5.00000,35.00000,2.00000,42.00000,0.11905,0.04762,0.83333,1.00000,2.22118
118,11216,2.00000,16.00000,1.00000,19.00000,0.10526,0.05263,0.84211,1.00000,0.94978
119,11217,2.00000,12.00000,3.00000,17.00000,0.11765,0.17647,0.70588,1.00000,0.77652
120,11218,1.00000,5.00000,0.00000,6.00000,0.16667,0.00000,0.83333,1.00000,1.32249
121,11219,2.00000,0.00000,0.00000,2.00000,1.00000,0.00000,0.00000,1.00000,1.50664
122,11220,4.00000,16.00000,0.00000,20.00000,0.20000,0.00000,0.80000,1.00000,1.70217
123,11221,1.00000,16.00000,0.00000,17.00000,0.05882,0.00000,0.94118,1.00000,1.38388
124,11222,2.00000,22.00000,1.00000,25.00000,0.08000,0.04000,0.88000,1.00000,1.53899
125,11223,8.00000,6.00000,0.00000,14.00000,0.57143,0.00000,0.42857,1.00000,2.10568
126,11224,2.00000,1.00000,1.00000,4.00000,0.50000,0.25000,0.25000,1.00000,1.67520
127,11225,4.00000,8.00000,1.00000,13.00000,0.30769,0.07692,0.61538,1.00000,0.85007
128,11226,6.00000,4.00000,0.00000,10.00000,0.60000,0.00000,0.40000,1.00000,1.41359
129,11228,1.00000,1.00000,0.00000,2.00000,0.50000,0.00000,0.50000,1.00000,1.57445
130,11229,4.00000,3.00000,1.00000,8.00000,0.50000,0.12500,0.37500,1.00000,2.15648
131,11230,3.00000,3.00000,0.00000,6.00000,0.50000,0.00000,0.50000,1.00000,1.79087
132,11231,2.00000,12.00000,0.00000,14.00000,0.14286,0.00000,0.85714,1.00000,1.43773
133,11232,5.00000,6.00000,0.00000,11.00000,0.45455,0.00000,0.54545,1.00000,2.00439
134,11233,1.00000,8.00000,0.00000,9.00000,0.11111,0.00000,0.88889,1.00000,1.35846
135,11234,5.00000,0.00000,2.00000,7.00000,0.71429,0.28571,0.00000,1.00000,7.39644
136,11235,5.00000,3.00000,1.00000,9.00000,0.55556,0.11111,0.33333,1.00000,2.47696
137,11236,5.00000,1.00000,0.00000,6.00000,0.83333,0.00000,0.16667,1.00000,3.45694
138,11237,4.00000,15.00000,0.00000,19.00000,0.21053,0.00000,0.78947,1.00000,0.98190
139,11238,0.00000,21.00000,0.00000,21.00000,0.00000,0.00000,1.00000,1.00000,1.05564
140,11239,3.00000,0.00000,0.00000,3.00000,1.00000,0.00000,0.00000,1.00000,1.49918
141,11354,6.00000,23.00000,1.00000,30.00000,0.20000,0.03333,0.76667,1.00000,2.22341
142,11355,5.00000,3.00000,1.00000,9.00000,0.55556,0.11111,0.33333,1.00000,1.77137
143,11356,3.00000,1.00000,1.00000,5.00000,0.60000,0.20000,0.20000,1.00000,1.55393
144,11357,2.00000,1.00000,0.00000,3.00000,0.66667,0.00000,0.33333,1.00000,2.77488
145,11358,3.00000,9.00000,0.00000,12.00000,0.25000,0.00000,0.75000,1.00000,1.95931
146,11360,1.00000,0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,1.00000,1.39301
147,11361,1.00000,5.00000,1.00000,7.00000,0.14286,0.14286,0.71429,1.00000,1.79937
148,11362,1.00000,2.00000,1.00000,4.00000,0.25000,0.25000,0.50000,1.00000,1.96139
149,11364,3.00000,0.00000,0.00000,3.00000,1.00000,0.00000,0.00000,1.00000,3.02240
150,11365,1.00000,1.00000,1.00000,3.00000,0.33333,0.33333,0.33333,1.00000,2.48888
151,11366,2.00000,1.00000,0.00000,3.00000,0.66667,0.00000,0.33333,1.00000,0.73026
152,11367,2.00000,0.00000,0.00000,2.00000,1.00000,0.00000,0.00000,1.00000,2.61170
153,11368,3.00000,5.00000,0.00000,8.00000,0.37500,0.00000,0.62500,1.00000,2.60021
154,11369,2.00000,3.00000,0.00000,5.00000,0.40000,0.00000,0.60000,1.00000,1.07827
